congress,session,begin,end
118,1,2023-01-03,
117,2,2022-01-03,2023-01-03
117,1,2021-01-03,2022-01-03
116,2,2020-01-03,2021-01-03
116,1,2019-01-03,2020-01-03
115,2,2018-01-03,2019-01-03
115,1,2017-01-03,2018-01-03
114,2,2016-01-04,2017-01-03
114,1,2015-01-06,2015-12-18
113,2,2014-01-03,2014-12-16
113,1,2013-01-03,2014-01-03
112,2,2012-01-03,2013-01-03
112,1,2011-01-05,2012-01-03
111,2,2010-01-05,2010-12-22
111,1,2009-01-06,2009-12-24
110,2,2008-01-03,2009-01-03
110,1,2007-01-04,2007-12-31
109,2,2006-01-03,2006-12-09
109,1,2005-01-04,2005-12-22
108,2,2004-01-20,2004-12-08
108,1,2003-01-07,2003-12-09
107,2,2002-01-23,2002-11-22
107,1,2001-01-03,2001-12-20
106,2,2000-01-24,2000-12-15
106,1,1999-01-06,1999-11-22
105,2,1998-01-27,1998-12-19
105,1,1997-01-07,1997-11-13
104,2,1996-01-03,1996-10-04
104,1,1995-01-04,1996-01-03
103,2,1994-01-25,1994-12-01
103,1,1993-01-05,1993-11-26
102,2,1992-01-03,1992-10-09
102,1,1991-01-03,1992-01-03
101,2,1990-01-23,1990-10-28
101,1,1989-01-03,1989-11-22
100,2,1988-01-25,1988-10-22
100,1,1987-01-06,1987-12-22
99,2,1986-01-21,1986-10-18
99,1,1985-01-03,1985-12-20
98,2,1984-01-23,1984-10-12
98,1,1983-01-03,1983-11-18
97,2,1982-01-25,1982-12-23
97,1,1981-01-05,1981-12-16
96,2,1980-01-03,1980-12-16
96,1,1979-01-15,1980-01-03
95,2,1978-01-19,1978-10-15
95,1,1977-01-04,1977-12-15
94,2,1976-01-19,1976-10-01
94,1,1975-01-14,1975-12-19
93,2,1974-01-21,1974-12-20
93,1,1973-01-03,1973-12-22
92,2,1972-01-18,1972-10-18
92,1,1971-01-21,1971-12-17
91,2,1970-01-19,1971-01-02
91,1,1969-01-03,1969-12-23
90,2,1968-01-15,1968-10-14
90,1,1967-01-10,1967-12-15
89,2,1966-01-10,1966-10-22
89,1,1965-01-04,1965-10-23
88,2,1964-01-07,1964-10-03
88,1,1963-01-09,1963-12-30
87,2,1962-01-10,1962-10-13
87,1,1961-01-03,1961-09-27
86,2,1960-01-06,1960-09-01
86,1,1959-01-07,1959-09-15
85,2,1958-01-07,1958-08-24
