"","congress_number","session_number","law.missing","gap_chapter_start","gap_chapter_end","sal_volume"
"1",49,1,TRUE,89,325,24
"2",25,3,TRUE,96,225,5
"3",56,2,TRUE,479,606,31
"4",56,2,TRUE,220,341,31
"5",56,2,TRUE,679,799,31
"6",24,1,TRUE,122,229,5
"7",49,1,TRUE,638,743,24
"8",51,2,TRUE,386,491,26
"9",49,1,TRUE,464,566,24
"10",51,1,TRUE,1136,1238,26
"11",48,1,TRUE,236,330,23
"12",48,2,TRUE,167,259,23
"13",56,1,TRUE,624,713,31
"14",55,3,TRUE,229,312,30
"15",56,1,TRUE,255,337,31
"16",56,1,TRUE,395,468,31
"17",56,2,TRUE,387,460,31
"18",23,1,TRUE,175,246,4
"19",50,1,TRUE,1114,1185,25
"20",51,1,TRUE,541,611,26
"21",51,1,TRUE,1049,1119,26
"22",50,1,TRUE,520,589,25
"23",51,2,TRUE,169,236,26
"24",40,3,TRUE,58,120,15
"25",51,1,TRUE,293,354,26
"26",24,1,TRUE,291,351,5
"27",56,2,TRUE,14,74,31
"28",56,1,TRUE,719,778,31
"29",51,1,TRUE,481,539,26
"30",51,1,TRUE,737,795,26
"31",29,1,TRUE,111,168,9
"32",56,2,TRUE,108,163,31
"33",48,2,TRUE,69,122,23
"34",25,2,TRUE,213,263,5
"35",56,1,TRUE,490,540,31
"36",22,1,TRUE,251,300,4
"37",51,2,TRUE,292,341,26
"38",55,2,TRUE,585,634,30
"39",30,2,TRUE,130,178,9
"40",49,2,TRUE,159,207,24
"41",56,1,TRUE,194,242,31
"42",33,1,TRUE,111,158,10
"43",48,2,TRUE,266,313,23
"44",50,1,TRUE,424,471,25
"45",18,1,TRUE,90,135,4
"46",27,2,TRUE,131,176,5
"47",51,1,TRUE,102,147,26
"48",51,1,TRUE,952,997,26
"49",42,2,TRUE,370,413,17
"50",45,3,TRUE,126,169,20
"51",55,2,TRUE,122,165,30
"52",56,2,TRUE,624,667,31
"53",26,1,TRUE,55,97,5
"54",49,1,TRUE,850,892,24
"55",45,2,TRUE,217,258,20
"56",50,1,TRUE,949,990,25
"57",56,1,TRUE,46,87,31
"58",51,1,TRUE,439,478,26
"59",55,2,TRUE,250,289,30
"60",39,2,TRUE,104,142,14
"61",40,2,TRUE,187,225,15
"62",45,2,TRUE,270,308,20
"63",51,2,TRUE,343,381,26
"64",21,1,TRUE,108,145,4
"65",43,1,TRUE,350,387,18
"66",49,1,TRUE,425,462,24
"67",54,2,TRUE,270,307,29
"68",55,2,TRUE,300,337,30
"69",50,2,TRUE,242,277,25
"70",51,1,TRUE,670,705,26
"71",51,1,TRUE,1004,1039,26
"72",56,1,TRUE,823,858,31
"73",50,1,TRUE,156,190,25
"74",32,2,TRUE,105,138,10
"75",40,2,TRUE,83,116,15
"76",43,2,TRUE,42,75,18
"77",47,1,TRUE,314,347,22
"78",50,1,TRUE,632,665,25
"79",50,1,TRUE,825,858,25
"80",55,2,TRUE,192,225,30
"81",56,1,TRUE,122,155,31
"82",56,1,TRUE,350,383,31
"83",50,1,TRUE,262,294,25
"84",51,1,TRUE,237,269,26
"85",52,1,TRUE,278,310,27
"86",25,3,TRUE,38,69,5
"87",40,2,TRUE,144,174,15
"88",43,1,TRUE,225,255,18
"89",47,1,TRUE,400,430,22
"90",48,1,TRUE,183,213,23
"91",51,2,TRUE,132,162,26
"92",24,1,TRUE,8,37,5
"93",34,1,TRUE,88,117,11
"94",45,2,TRUE,110,139,20
"95",54,1,TRUE,340,369,29
"96",54,2,TRUE,31,60,29
"97",55,3,TRUE,90,119,30
"98",33,2,TRUE,26,54,10
"99",34,1,TRUE,131,159,11
"100",51,1,TRUE,877,905,26
"101",51,2,TRUE,253,281,26
"102",56,1,TRUE,557,585,31
"103",35,1,TRUE,94,121,11
"104",36,1,TRUE,86,113,12
"105",43,1,TRUE,425,452,18
"106",25,2,TRUE,120,146,5
"107",34,2,TRUE,1,27,11
"108",45,2,TRUE,332,358,20
"109",54,1,TRUE,276,302,29
"110",55,2,TRUE,396,422,30
"111",55,3,TRUE,1,27,30
"112",27,2,TRUE,229,254,5
"113",34,3,TRUE,64,89,11
"114",48,1,TRUE,150,175,23
"115",49,2,TRUE,223,248,24
"116",51,1,TRUE,356,381,26
"117",23,2,TRUE,51,75,4
"118",47,2,TRUE,65,89,22
"119",50,1,TRUE,82,106,25
"120",50,2,TRUE,209,233,25
"121",54,2,TRUE,180,204,29
"122",23,1,TRUE,17,40,4
"123",41,3,TRUE,75,98,16
"124",49,1,TRUE,904,927,24
"125",50,2,TRUE,67,90,25
"126",17,1,TRUE,63,85,3
"127",46,2,TRUE,138,160,21
"128",22,1,TRUE,29,50,4
"129",24,2,TRUE,53,74,5
"130",25,2,TRUE,60,81,5
"131",33,1,TRUE,205,226,10
"132",33,2,TRUE,74,95,10
"133",33,2,TRUE,176,197,10
"134",35,2,TRUE,36,57,11
"135",49,2,TRUE,289,310,24
"136",50,2,TRUE,25,46,25
"137",50,2,TRUE,334,355,25
"138",55,2,TRUE,424,445,30
"139",18,1,TRUE,67,87,4
"140",35,1,TRUE,60,80,11
"141",50,1,TRUE,795,815,25
