"","popular_name","pl_no","citation","item_no","date","us_code","cite_contains_title","chapter","id","alternate_names","number_of_alternate_names","sal_volume","sal_page_start","congress","session"
"1","____________Act of____________","111-226","124 Stat. 2389","1","2010-08-10",NA,FALSE,NA,1,NA,0,124,2389,111,"2"
"2","1921 Silver Dollar Coin Anniversary Act","116-286","134 Stat. 4879","2","2021-01-05","31 U.S.C. 5112",FALSE,NA,2,NA,0,134,4879,116,"2"
"3","1950 Amendment to Public Law 38",NA,"64 Stat. 414","3","1950-08-05",NA,FALSE,"592",3,NA,0,64,414,81,"2"
"4","1955 Amendments to the Universal Military Training and Service Act",NA,"69 Stat. 223","5","1955-06-30","50 U.S.C. 3801",FALSE,"250",4,NA,0,69,223,84,"1"
"5","1959 Amendment to the Texas City Disaster Relief Act","86-381","73 Stat. 706","6","1959-09-25",NA,FALSE,NA,5,NA,0,73,706,86,"1"
"6","1964 Amendments to the Alaska Omnibus Act","88-451","78 Stat. 505","7","1964-08-19"," (48 U.S.C. note prec. 21)",FALSE,NA,6,NA,0,78,505,88,"2"
"7","1984 Act to Combat International Terrorism","98-533","98 Stat. 2706","10","1984-10-19","18 U.S.C. 3071",FALSE,NA,7,NA,0,98,2706,98,"2"
"8","1988 Olympic Commemorative Coin Act","100-141","101 Stat. 832","12","1987-10-28","31 U.S.C. 5112",FALSE,NA,8,NA,0,101,832,100,"1"
"9","1992 National Assessment of Chapter 1 Act","101-305","104 Stat. 253","13","1990-05-30",NA,FALSE,NA,9,NA,0,104,253,101,"2"
"10","1992 Olympic Commemorative Coin Act","101-406","104 Stat. 879","14","1990-10-03","31 U.S.C. 5112",FALSE,NA,10,NA,0,104,879,101,"2"
"11","1997 Emergency Supplemental Appropriations Act for Recovery from Natural Disasters, and for Overseas Peacekeeping Efforts, Including Those in Bosnia","105-18","111 Stat. 158","17","1997-06-12",NA,FALSE,NA,11,NA,0,111,158,105,"2"
"12","1998 Supplemental Appropriations and Rescissions Act","105-174","112 Stat. 58","18","1998-05-01",NA,FALSE,NA,12,NA,0,112,58,105,"2"
"13","1999 Emergency Supplemental Appropriations Act","106-31","113 Stat. 57","19","1999-05-21",NA,FALSE,NA,13,NA,0,113,57,106,"1"
"14","2001 Emergency Supplemental Appropriations Act for Recovery from and Response to Terrorist Attacks on the United States","107-38","115 Stat. 220","20","2001-09-18",NA,FALSE,NA,14,NA,0,115,220,107,"1"
"15","2002 Supplemental Appropriations Act for Further Recovery From and Response To Terrorist Attacks on the United States","107-206","116 Stat. 820","21","2002-08-02",NA,FALSE,NA,15,NA,0,116,820,107,"2"
"16","2002 Winter Olympic Commemorative Coin Act","106-435","114 Stat. 1916","22","2000-11-06","31 U.S.C. 5112",FALSE,NA,16,NA,0,114,1916,106,"2"
"17","2004 District of Columbia Omnibus Authorization Act","108-386","118 Stat. 2228","23","2004-10-30","12 U.S.C. 1811",FALSE,NA,17,NA,0,118,2228,108,"2"
"18","2005 District of Columbia Omnibus Authorization Act","109-356","120 Stat. 2019","24","2006-10-16","5 U.S.C. 101",FALSE,NA,18,NA,0,120,2019,109,"2"
"19","21st Century Department of Justice Appropriations Authorization Act","107-273","116 Stat. 1758","28","2002-11-02",NA,FALSE,NA,19,NA,0,116,1758,107,"2"
"20","21st Century Language Act of 2012","112-231","126 Stat. 1619","32","2012-12-28","1 U.S.C. 1",FALSE,NA,20,NA,0,126,1619,112,"2"
"21","21st Century Nanotechnology Research and Development Act","108-153","117 Stat. 1923","33","2003-12-03","15 U.S.C. 7501",FALSE,NA,21,NA,0,117,1923,108,"1"
"22","21st Century President Act","117-272","136 Stat. 4181","34","2022-12-27","18 U.S.C. 1",FALSE,NA,22,NA,0,136,4181,117,"1"
"23","250th Anniversary of the United States Marine Corps Commemorative Coin Act","118-10","137 Stat. 56","37","2023-07-26","31 U.S.C. 5112",FALSE,NA,23,NA,0,137,56,118,"1"
"24","400 Years of African-American History Commission Act","115-102","131 Stat. 2248","39","2018-01-08"," (36 U.S.C. note prec. 101)",FALSE,NA,24,NA,0,131,2248,115,"1"
"25","5-Star Generals Commemorative Coin Act","111-262","124 Stat. 2780","40","2010-10-08","31 U.S.C. 5112",FALSE,NA,25,NA,0,124,2780,111,"2"
"26","7(a) Real Estate Appraisal Harmonization Act","115-370","132 Stat. 5105","42","2018-12-21","15 U.S.C. 631",FALSE,NA,26,NA,0,132,5105,115,"2"
"27","75th Anniversary of World War II Commemoration Act","115-433","132 Stat. 5523","43","2019-01-10"," (36 U.S.C. note prec. 101)",FALSE,NA,27,NA,0,132,5523,115,"2"
"28","9/11 Heroes Medal of Valor Act of 2017","115-276","132 Stat. 4166","46","2018-11-03","31 U.S.C. 5111",FALSE,NA,28,NA,0,132,4166,115,"2"
"29","9/11 Memorial Act","115-413","132 Stat. 5427","48","2019-01-03","54 U.S.C. 320301",FALSE,NA,29,NA,0,132,5427,115,"2"
"30","A.A.A. Farm Relief and Inflation Act",NA,"48 Stat. 31","50","1933-05-12",NA,FALSE,"25",30,"Wagner-Lewis $500,000,000 Emergency Relief Act",1,48,31,73,"1"
"31","Abaca Production Act of 1950",NA,"64 Stat. 435","52","1950-08-10","50 U.S.C. 541",FALSE,"673",31,NA,0,64,435,81,"2"
"32","Abandoned Infants Assistance Act Amendments of 1991","102-236","105 Stat. 1812","54","1991-12-12","42 U.S.C. 670",FALSE,NA,32,NA,0,105,1812,102,"1"
"33","Abandoned Infants Assistance Act of 1988","100-505","102 Stat. 2533","55","1988-10-18","42 U.S.C. 670",FALSE,NA,33,NA,0,102,2533,100,"2"
"34","Abandoned Property Collection Act",NA,"12 Stat. 820","57","1863-03-12",NA,FALSE,"120",34,NA,0,12,820,38,"S"
"35","Abandoned Shipwreck Act of 1987","100-298","102 Stat. 432","58","1988-04-28","43 U.S.C. 2101",FALSE,NA,35,NA,0,102,432,100,"2"
"36","Able Seamen Act",NA,"55 Stat. 579","60","1941-07-08",NA,FALSE,"279",36,NA,0,55,579,77,"1"
"37","Abolish Human Trafficking Act of 2017","115-392","132 Stat. 5250","61","2018-12-21","18 U.S.C. 1",FALSE,NA,37,NA,0,132,5250,115,"2"
"38","Abolish Trafficking Reauthorization Act of 2022","117-347","136 Stat. 6199","62","2023-01-05","34 U.S.C. 10101",FALSE,NA,38,NA,0,136,6199,117,"1"
"39","Abraham Lincoln Bicentennial Commission Act","106-173","114 Stat. 14","64","2000-02-25"," (36 U.S.C. note prec. 101)",FALSE,NA,39,NA,0,114,14,106,"2"
"40","Abraham Lincoln Commemorative Coin Act","109-285","120 Stat. 1215","65","2006-09-27","31 U.S.C. 5112",FALSE,NA,40,NA,0,120,1215,109,"2"
"41","Accelerating Access to Critical Therapies for ALS Act","117-79","135 Stat. 1533","68","2021-12-23","21 U.S.C. 301",FALSE,NA,41,NA,0,135,1533,117,"1"
"42","Access to Baby Formula Act of 2022","117-129","136 Stat. 1225","70","2022-05-21","42 U.S.C. 1771",FALSE,NA,42,NA,0,136,1225,117,"1"
"43","Access to Criminal History Records for State Sentencing Commissions Act of 2010","111-369","124 Stat. 4068","72","2011-01-04","28 U.S.C. 1",FALSE,NA,43,NA,0,124,4068,111,NA
"44","Accountability of Tax Dollars Act of 2002","107-289","116 Stat. 2049","75","2002-11-07","31 U.S.C. 3501",FALSE,NA,44,NA,0,116,2049,107,"2"
"45","Accountable Pipeline Safety and Partnership Act of 1996","104-304","110 Stat. 3793","76","1996-10-12","49 U.S.C. 60101",FALSE,NA,45,NA,0,110,3793,104,"1"
"46","Accountant, Compliance, and Enforcement Staffing Act of 2003","108-44","117 Stat. 842","77","2003-07-03","5 U.S.C. 101",FALSE,NA,46,NA,0,117,842,108,"1"
"47","Accuracy for Adoptees Act","113-74","127 Stat. 1212","79","2014-01-16","8 U.S.C. 1101",FALSE,NA,47,NA,0,127,1212,113,"2"
"48","Ackia Battleground National Monument Act",NA,"49 Stat. 897","82","1935-08-27","16 U.S.C. 450r",FALSE,"755",48,NA,0,49,897,74,NA
"49","Act for the Prevention and Punishment of Crimes Against Internationally Protected Persons","94-467","90 Stat. 1997","87","1976-10-08","18 U.S.C. 112",FALSE,NA,49,NA,0,90,1997,94,"2"
"50","Act for the Protection of Foreign Officials and Official Guests of the United States","92-539","86 Stat. 1070","89","1972-10-24","18 U.S.C. 112",FALSE,NA,50,"Protection of Foreign Officials and Official Guests of the United States Act",1,86,1070,92,"2"
"51","Act for the Regulation of Credit Life Insurance and Credit Accident and Health Insurance","87-686","76 Stat. 580","90","1962-09-25",NA,FALSE,NA,51,"District of Columbia Act for the Regulation of Credit Life Insurance and Credit Accident and Health Insurance",1,76,580,87,"2"
"52","Act Relating to Children Born Out of Wedlock",NA,"64 Stat. 1240","91","1951-01-11",NA,FALSE,"1225",52,NA,0,64,1240,81,"2"
"53","Act to authorize the United States to participate in chapter II of the Patent Cooperation Treaty","99-616","100 Stat. 3485","92","1986-11-06","35 U.S.C. 351",FALSE,NA,53,NA,0,100,3485,99,"2"
"54","Act to Prevent Pollution from Ships","96-478","94 Stat. 2297","93","1980-10-21","33 U.S.C. 1901",FALSE,NA,54,NA,0,94,2297,96,"2"
"55","Act to Promote the Defense of the United States",NA,"55 Stat. 31","94","1941-03-11","22 U.S.C. 411",FALSE,"11",55,"Lease-Lend Act|Lend-Lease Act",2,55,31,77,"1"
"56","Action for Dental Health Act of 2018","115-302","132 Stat. 4396","95","2018-12-11","42 U.S.C. 201",FALSE,NA,56,NA,0,132,4396,115,"2"
"57","ADA Amendments Act of 2008","110-325","122 Stat. 3553","96","2008-09-25","42 U.S.C. 12101",FALSE,NA,57,NA,0,122,3553,110,"2"
"58","Adam Walsh Child Protection and Safety Act of 2006","109-248","120 Stat. 587","97","2006-07-27","34 U.S.C. 10101",FALSE,NA,58,NA,0,120,587,109,"2"
"59","ADAMHA Reorganization Act","102-321","106 Stat. 323","98","1992-07-10","42 U.S.C. 201",FALSE,NA,59,NA,0,106,323,102,"2"
"60","Adams Act (Agricultural Experiment Stations)",NA,"34 Stat. 63","99","1906-03-16",NA,FALSE,"951",60,NA,0,34,63,59,"1"
"61","Adams National Historical Park Act of 1998","105-342","112 Stat. 3200","100","1998-11-02","16 U.S.C. 410eee",FALSE,NA,61,NA,0,112,3200,105,"2"
"62","Adamson Law (Eight Hour Day)",NA,"39 Stat. 721","101",NA,"45 U.S.C. 65",FALSE,"436",62,NA,0,39,721,64,NA
