"","bdl_id","popular_name"
"1",49746,NA
"2",49745,"Supplemental Impact Aid Flexibility Act"
"3",49744,"Willie O'Ree Congressional Gold Medal Act"
"4",49743,"Ghost Army Congressional Gold Medal Act"
"5",49742,NA
"6",49741,NA
"7",49740,NA
"8",49739,NA
"9",49738,"Ending Forced Arbitration of Sexual Assault and Sexual Harassment Act of 2021"
"10",49737,NA
"11",49736,NA
"12",49735,NA
"13",49734,NA
"14",49733,"Extension of Continuing Appropriations Act, 2022"
"15",49732,NA
"16",49731,"``Six Triple Eight'' Congressional Gold Medal Act of 2021"
"17",49730,NA
"18",49729,"Methamphetamine Response Act of 2021"
"19",49728,NA
"20",49727,"Supporting the Foundation for the National Institutes of Health and the Reagan-Udall Foundation for the Food and Drug Administration Act"
"21",49726,NA
"22",49725,NA
"23",49724,"John Lewis NIMHD Research Endowment Revitalization Act of 2021"
"24",49723,"Dr. Lorna Breen Health Care Provider Protection Act"
"25",49722,"Amache National Historic Site Act"
"26",49721,"Emmett Till Antilynching Act"
"27",49720,"Postal Service Reform Act of 2022"
"28",49719,"Ending Importation of Russian Oil Act"
"29",49718,"Suspending Normal Trade Relations with Russia and Belarus Act"
"30",49717,NA
"31",49716,"Save the Liberty Theatre Act of 2021"
"32",49715,"Shadow Wolves Enhancement Act"
"33",49714,"Modernizing Access to Our Public Land Act"
"34",49713,"Donna M. Doss Memorial Act of 2021"
"35",49712,"Better Cybercrime Metrics Act"
"36",49711,"William T. Coleman, Jr. and Norman Y. Mineta Department of Transportation Headquarters Act"
"37",49710,"Ukraine Democracy Defense Lend-Lease Act of 2022"
"38",49709,NA
"39",49708,NA
"40",49707,"American Fisheries Advisory Committee Act"
"41",49706,"National Cybersecurity Preparedness Consortium Act of 2021"
"42",49705,"Brown v. Board of Education National Historical Park Expansion and Redesignation Act"
"43",49704,NA
"44",49703,"Courthouse Ethics and Transparency Act"
"45",49702,"Safe Sleep for Babies Act of 2021"
"46",49701,"Multinational Species Conservation Funds Semipostal Stamp Reauthorization Act of 2021"
"47",49700,"Additional Ukraine Supplemental Appropriations Act, 2022"
"48",49699,"Access to Baby Formula Act of 2022"
"49",49698,"Homeland Security for Children Act"
"50",49697,NA
"51",49696,"United States Army Rangers Veterans of World War II Congressional Gold Medal Act"
"52",49695,NA
"53",49694,NA
"54",49693,"Making Advances in Mammography and Medical Options for Veterans Act"
"55",49692,"Strengthening Oversight for Veterans Act of 2021"
"56",49691,NA
"57",49690,"Veterans Rapid Retraining Assistance Program Restoration and Recovery Act of 2022"
"58",49689,"RECA Extension Act of 2022"
"59",49688,"Commission To Study the Potential Creation of a National Museum of Asian Pacific American History and Culture Act"
"60",49687,NA
"61",49686,NA
"62",49685,NA
"63",49684,"South Florida Clean Coastal Waters Act of 2021"
"64",49683,"Supply Chain Security Training Act of 2021"
"65",49682,"Ocean Shipping Reform Act of 2022"
"66",49681,NA
"67",49680,"Supreme Court Police Parity Act of 2022"
"68",49679,"Federal Rotational Cyber Workforce Program Act of 2021"
"69",49678,"State and Local Government Cybersecurity Act of 2021"
"70",49677,"Bankruptcy Threshold Adjustment and Technical Corrections Act"
"71",49676,NA
"72",49675,NA
"73",49674,"VA Electronic Health Record Transparency Act of 2021"
"74",49673,NA
"75",49672,NA
"76",49671,NA
"77",49670,"Keep Kids Fed Act of 2022"
"78",49669,NA
"79",49668,"Formula Act"
"80",49667,"Desert Sage Youth Wellness Center Access Improvement Act"
"81",49666,"Greatest Generation Commemorative Coin Act"
"82",49665,"Harriet Tubman Bicentennial Commemorative Coin Act"
"83",49664,"Homicide Victims' Families' Rights Act of 2021"
"84",49663,"COVID-19 EIDL Fraud Statute of Limitations Act of 2022"
"85",49662,"PPP and Bank Fraud Enforcement Harmonization Act of 2022"
"86",49661,NA
"87",49660,NA
"88",49659,"Inflation Reduction Act of 2022"
"89",49658,NA
"90",49657,"Reese's Law"
"91",49656,"Public Safety Officer Support Act of 2022"
"92",49655,NA
"93",49654,"Ensuring the Best Schools for Veterans Act of 2022"
"94",49653,"Patient Advocate Tracker Act"
"95",49652,"Eliminating Limits to Justice for Child Sex Abuse Victims Act of 2022"
"96",49651,NA
"97",49650,NA
"98",49649,NA
"99",49648,NA
"100",49647,"United States Commission on International Religious Freedom Reauthorization Act of 2022"
"101",49646,NA
"102",49645,"SBIR and STTR Extension Act of 2022"
"103",49644,NA
"104",49643,"Russia and Belarus SDR Exchange Prohibition Act of 2022"
"105",49642,"Expedited Delivery of Airport Infrastructure Act of 2021"
"106",49641,"FTC Collaboration Act of 2021"
"107",49640,"One Stop Shop for Small Business Compliance Act of 2021"
"108",49639,NA
"109",49638,"Fiscal Year 2022 Veterans Affairs Major Medical Facility Authorization Act"
"110",49637,"Veterans' Compensation Cost-of-Living Adjustment Act of 2022"
"111",49636,"Bulk Infant Formula to Retail Shelves Act"
"112",49635,NA
"113",49634,NA
"114",49633,NA
"115",49632,NA
"116",49631,NA
"117",49630,NA
"118",49629,NA
"119",49628,"Joint Consolidation Loan Separation Act"
"120",49627,NA
"121",49626,NA
"122",49625,"Advanced Air Mobility Coordination and Leadership Act"
"123",49624,"Maximizing Outcomes through Better Investments in Lifesaving Equipment for (MOBILE) Health Care Act"
"124",49623,"Solid Start Act of 2022"
"125",49622,"Blackwell School National Historic Site Act"
"126",49621,NA
"127",49620,NA
"128",49619,"Supporting Families of the Fallen Act"
"129",49618,"Bridging the Gap for New Americans Act"
"130",49617,"End Human Trafficking in Government Contracts Act of 2022"
"131",49616,NA
"132",49615,NA
"133",49614,"Global Malnutrition Prevention and Treatment Act of 2021"
"134",49613,"Medical Marijuana and Cannabidiol Research Expansion Act"
"135",49612,NA
"136",49611,NA
"137",49610,NA
"138",49609,NA
"139",49608,NA
"140",49607,"Disaster Resiliency Planning Act"
"141",49606,"Civil Rights Cold Case Investigations Support Act of 2022"
"142",49605,"Safe Connections Act of 2022"
"143",49604,"Speak Out Act"
"144",49603,NA
"145",49602,"Max Cleland VA Medical Center Act"
"146",49601,"Senator Johnny Isakson VA Regional Office Act of 2022"
"147",49600,"Respect for Marriage Act"
"148",49599,NA
"149",49598,NA
"150",49597,NA
"151",49596,NA
"152",49595,NA
"153",49594,NA
"154",49593,NA
"155",49592,NA
"156",49591,NA
"157",49590,NA
"158",49589,NA
"159",49588,NA
"160",49587,"Early Hearing Detection and Intervention Act of 2022"
"161",49586,"Paul D. Wellstone Building Act of 2022"
"162",49585,"Big Cat Public Safety Act"
"163",49584,"Cardiovascular Advances in Research and Opportunities Legacy Act"
"164",49583,"Patents for Humanity Act of 2022"
"165",49582,"Empowering the U.S. Fire Administration Act"
"166",49581,"Data Mapping to Save Moms' Lives Act"
"167",49580,NA
"168",49579,"Disaster Assistance for Rural Communities Act"
"169",49578,"Rural Opioid Abuse Prevention Act"
"170",49577,NA
"171",49576,NA
"172",49575,NA
"173",49574,"Preventing PFAS Runoff at Airports Act"
"174",49573,"Community Disaster Resilience Zones Act of 2022"
"175",49572,NA
"176",49571,NA
"177",49570,"Safeguard Tribal Objects of Patrimony Act of 2021"
"178",49569,"SBA Cyber Awareness Act"
"179",49568,"Quantum Computing Cybersecurity Preparedness Act"
"180",49567,"Klamath Tribe Judgment Fund Repeal Act"
"181",49566,NA
"182",49565,NA
"183",49564,NA
"184",49563,NA
"185",49562,"Don Young Alaska Native Health Care Land Transfers Act of 2022"
"186",49561,"Blackwater Trading Post Land Transfer Act"
"187",49560,NA
"188",49559,NA
"189",49558,NA
"190",49557,NA
"191",49556,"21st Century President Act"
"192",49555,"War Crimes Rewards Expansion Act"
"193",49554,NA
"194",49553,"Old Pascua Community Land Acquisition Act"
"195",49552,NA
"196",49551,NA
"197",49550,NA
"198",49549,NA
"199",49548,NA
"200",49547,NA
"201",49546,NA
"202",49545,NA
"203",49544,NA
"204",49543,NA
"205",49542,NA
"206",49541,"Great Lakes Fish and Wildlife Restoration Reauthorization Act of 2022"
"207",49540,NA
"208",49539,NA
"209",49538,NA
"210",49537,NA
"211",49536,NA
"212",49535,NA
"213",49534,NA
"214",49533,NA
"215",49532,"Red River National Wildlife Refuge Boundary Modification Act"
"216",49531,"Veterans Eligible to Transfer School (VETS) Credit Act"
"217",49530,NA
"218",49529,NA
"219",49528,NA
"220",49527,"Human Trafficking Prevention Act of 2022"
"221",49526,NA
"222",49525,"MST Claims Coordination Act"
"223",49524,NA
"224",49523,NA
"225",49522,NA
"226",49521,NA
"227",49520,"Improving Access to the VA Home Loan Benefit Act of 2022"
"228",49519,NA
"229",49518,NA
"230",49517,NA
"231",49516,NA
"232",49515,"Faster Payments to Veterans' Survivors Act of 2022"
"233",49514,NA
"234",49513,"VAWA Technical Amendment Act of 2022"
"235",49512,NA
"236",49511,NA
"237",49510,"Saline Lake Ecosystems in the Great Basin States Program Act of 2022"
"238",49509,"Small Business Cyber Training Act of 2022"
"239",49508,"Iran Hostages Congressional Gold Medal Act"
"240",49507,"Prison Camera Reform Act of 2021"
"241",49506,"Countering Human Trafficking Act of 2021"
"242",49505,"Justice and Mental Health Collaboration Reauthorization Act of 2022"
"243",49504,"Preventing Organizational Conflicts of Interest in Federal Acquisition Act"
"244",49503,"Law Enforcement De-Escalation Training Act of 2022"
"245",49502,NA
"246",49501,NA
"247",49500,NA
