"popular_name","pl_no","date","us_code","citation","duplicate","id","sal_volume","sal_page_start"
"Accounting and Auditing Act of 1950",NA,"1950-09-12",NA,"64 Stat 834",NA,70,64,834
"Act for International Development",NA,"1950-06-05","22 U.S.C. 1557 et seq.","64 Stat 204",NA,76,64,204
"Additional House Office Building Act of 1955",NA,"1955-04-22","2 U.S.C. 2001 note","69 Stat 41",NA,98,69,41
"Adjustment Act (Irrigation Projects)",NA,"1926-05-25","43 U.S.C. 423 et seq.","44 Stat 647",NA,105,44,647
"Agricultural Credit Corporations Act",NA,"1932-03-03","12 U.S.C. 1401 et seq.","47 Stat 60",NA,207,47,60
"Agricultural Marketing Act of 1946",NA,"1946-08-14","7 U.S.C. 1621 et seq.","60 Stat 1087",NA,219,60,1087
"Air Carrier Economic Regulation Act",NA,"1938-06-23",NA,"52 Stat 987",NA,298,52,987
"Air Engineering Development Center Act of 1949",NA,"1949-10-27","50 U.S.C. 521 et seq.","63 Stat 937",NA,301,63,937
"Air Safety Board Act",NA,"1938-06-23",NA,"52 Stat 1012",NA,311,52,1012
"Aircraft Registration Act",NA,"1938-06-23",NA,"52 Stat 1005",NA,322,52,1005
"All Writs Act",NA,"1911-03-03","see 28 U.S.C. 1651","36 Stat 1156",NA,442,36,1156
"American National Red Cross Headquarters Act",NA,"1930-02-07",NA,"46 Stat 66",NA,521,46,66
"Annual and Sick Leave Act of 1951",NA,"1951-10-30",NA,"65 Stat 679",NA,594,65,679
"Anti-Dumping Act, 1921",NA,"1921-05-27","19 U.S.C. 160 et seq.","42 Stat 11",NA,613,42,11
"Anti-Gag Law",NA,"1912-08-24",NA,"37 Stat 555",NA,615,37,555
"Automobile Tax Act",NA,"1940-06-25",NA,"54 Stat 522",NA,843,54,522
"Ball Act (Rents in District of Columbia)",NA,"1919-10-22",NA,"41 Stat 298",NA,884,41,298
"Bank Conservation Act",NA,"1933-03-09","12 U.S.C. 201 et seq.","48 Stat 2",NA,891,48,2
"Bank Official Loan Act",NA,"1933-06-16","12 U.S.C. 375a","48 Stat 182",NA,900,48,182
"Barkley-Norris Resolution (T. V. Authority)",NA,"1938-04-04",NA,"52 Stat 154",NA,933,52,154
"Borland Amendment (District of Columbia Improvements)",NA,"1914-07-21",NA,"38 Stat 524",NA,1086,38,524
"Brush Disposal Act",NA,"1916-08-11","16 U.S.C. 490","39 Stat 462",NA,1134,39,462
"Bureau of Corporations Act",NA,"1903-02-14",NA,"32 Stat 827",NA,1158,32,827
"Buy American Act",NA,"1933-03-03",NA,"47 Stat 1520",NA,1177,47,1520
"Buy Indian Act",NA,"1910-06-25","25 U.S.C. 47","36 Stat 861",NA,1179,36,861
"Canadian Boundary Act",NA,"1902-06-13",NA,"32 Stat 373",NA,1211,32,373
"Capehart Housing Act",NA,"1955-08-11",NA,"69 Stat 646",NA,1225,69,646
"Carmack Amendment to Hepburn Act (Interstate Commerce)",NA,"1906-06-29",NA,"34 Stat 595",NA,1269,34,595
"Child Labor Tax Act",NA,"1919-02-24",NA,"40 Stat 1138",NA,1398,40,1138
